,CITATION NUMBER,OFF FROM DATE,OFF TIME,RACE-ORIGIN CODE,CASE PARTY SEX,REASON FOR STOP,RACE KNOWN,VL STREET NAME,MSEARCH Y/N,MSEARCH TYPE,MSEARCH FOUND,latitude,longitude
238,13817524.0,12/16/2015 12:00:00 AM,0:00:00,W,F,1.0,N,6400 BLOCK CONVICT HILL ROAD,N,,,30.226786,-97.87107
239,13817525.0,12/16/2015 12:00:00 AM,9:25:00,W,F,1.0,N,6400 BLOCK CONVICT HILL ROAD,N,,,30.226786,-97.87107
240,13817526.0,12/16/2015 12:00:00 AM,0:00:00,W,F,1.0,N,6400 BLOCK CONVICT HILL ROAD,N,,,30.226786,-97.87107
241,13817527.0,12/16/2015 12:00:00 AM,12:19:00,W,F,1.0,N,6400 BLOCK CONVICT HILL ROAD,N,,,30.226786,-97.87107
242,13817528.0,12/16/2015 12:00:00 AM,13:08:00,W,M,1.0,N,6400 BLOCK CONVICT HILL ROAD,N,,,30.226786,-97.87107
243,13817529.0,12/16/2015 12:00:00 AM,0:00:00,W,M,1.0,N,6400 BLOCK CONVICT HILL ROAD,N,,,30.226786,-97.87107
244,13819512.0,06/06/2015 12:00:00 AM,11:34:00,W,M,,N,EAST 6TH STREET,N,,,30.263388,-97.7275389
245,13819513.0,06/06/2015 12:00:00 AM,21:20:00,W,M,1.0,N,NECHES STREET AT EAST 5TH STREET,N,,,30.265842,-97.73859
246,13819514.0,06/06/2015 12:00:00 AM,21:50:00,W,M,1.0,N,EAST 5TH STREET,N,,,30.2593112,-97.7190772
247,13819515.0,06/07/2015 12:00:00 AM,18:58:00,W,M,1.0,N,300 BLOCK EAST 6TH STREET,N,,,30.267391,-97.74032
248,13819516.0,06/10/2015 12:00:00 AM,16:25:00,B,M,1.0,N,EAST 6TH STREET,N,,,30.263388,-97.7275389
249,13819517.0,06/17/2015 12:00:00 AM,20:47:00,W,F,1.0,N,24TH STREET,N,,,30.288162,-97.747832
250,13819518.0,06/20/2015 12:00:00 AM,21:20:00,H,F,1.0,N,800 BLOCK EAST 7TH STREET,N,,,30.26658,-97.73383
251,13819519.0,06/26/2015 12:00:00 AM,19:46:00,B,F,1.0,N,CESAR CHAVEZ,N,,,30.2563647,-97.7335226
252,13820763.0,03/25/2015 12:00:00 AM,15:50:00,W,M,5.0,N,MANCHACA ROAD,N,,,30.1942054,-97.81103209999999
253,13825321.0,09/07/2015 12:00:00 AM,15:20:00,W,M,8.0,N,LAKE AUSTIN ZONE 5,N,,,30.35161969999999,-97.80620549999999
